TIMESTAMPms	M1RAWIMUxgyro	M1RAWIMUygyro	M1RAWIMUzgyro
16320	1.000000000000000e+1	-5.200000000000000e+1	-8.500000000000000e+1
16560	5.500000000000000e+1	1.700000000000000e+1	1.180000000000000e+2
16800	-2.600000000000000e+1	0.000000000000000e+0	2.650000000000000e+2
17040	-2.300000000000000e+1	-1.100000000000000e+1	3.320000000000000e+2
17279	3.200000000000000e+1	2.000000000000000e+1	3.730000000000000e+2
17520	2.400000000000000e+1	4.200000000000000e+1	3.580000000000000e+2
17760	-3.100000000000000e+1	-1.000000000000000e+0	3.170000000000000e+2
18000	-5.100000000000000e+1	-1.500000000000000e+1	2.970000000000000e+2
18240	2.200000000000000e+1	7.000000000000000e+0	2.760000000000000e+2
18480	6.000000000000000e+0	4.000000000000000e+0	2.500000000000000e+2
18720	-2.000000000000000e+0	-1.700000000000000e+1	2.000000000000000e+2
18960	-2.170000000000000e+2	1.180000000000000e+2	-1.580000000000000e+3
19200	-6.000000000000000e+1	-1.180000000000000e+2	-2.134000000000000e+3
19440	7.800000000000000e+1	2.590000000000000e+2	-6.380000000000000e+2
19680	1.430000000000000e+2	2.150000000000000e+2	-1.090000000000000e+2
19920	7.300000000000000e+1	-1.290000000000000e+2	7.000000000000000e+0
20160	-5.100000000000000e+1	-1.010000000000000e+2	-9.400000000000000e+1
20400	-7.000000000000000e+1	7.500000000000000e+1	-5.040000000000000e+2
20640	-1.100000000000000e+1	7.500000000000000e+1	-7.750000000000000e+2
20880	3.500000000000000e+1	5.300000000000000e+1	-8.610000000000000e+2
21120	1.100000000000000e+1	-8.000000000000000e+0	-4.560000000000000e+2
21360	9.300000000000000e+1	-7.000000000000000e+0	-4.900000000000000e+1
21600	2.900000000000000e+1	8.500000000000000e+1	8.800000000000000e+1
21840	-1.800000000000000e+1	3.200000000000000e+1	1.510000000000000e+2
22079	-1.600000000000000e+1	-7.700000000000000e+1	1.850000000000000e+2
22320	-3.000000000000000e+0	-4.600000000000000e+1	1.970000000000000e+2
22560	1.100000000000000e+1	1.700000000000000e+1	2.090000000000000e+2
22800	1.100000000000000e+1	5.000000000000000e+0	2.230000000000000e+2
23040	-5.500000000000000e+1	4.500000000000000e+1	-3.350000000000000e+2
23280	3.000000000000000e+0	-2.800000000000000e+1	-2.000000000000000e+0
23520	8.000000000000000e+1	-5.200000000000000e+1	2.500000000000000e+1
23760	2.100000000000000e+1	-1.000000000000000e+1	4.600000000000000e+1
24000	-4.000000000000000e+1	-6.500000000000000e+1	5.600000000000000e+1
24239	-5.500000000000000e+1	2.000000000000000e+0	7.500000000000000e+1
24480	2.100000000000000e+1	6.300000000000000e+1	9.500000000000000e+1
24720	4.100000000000000e+1	2.220000000000000e+2	6.300000000000000e+1
24960	-2.000000000000000e+0	1.130000000000000e+2	1.600000000000000e+1
25200	-5.100000000000000e+1	-2.860000000000000e+2	1.200000000000000e+1
25440	6.000000000000000e+0	-1.550000000000000e+2	2.700000000000000e+1
25680	1.290000000000000e+2	1.420000000000000e+2	-9.600000000000000e+1
25920	-1.290000000000000e+2	1.430000000000000e+2	-5.600000000000000e+1
26160	-1.600000000000000e+2	-1.210000000000000e+2	5.300000000000000e+1
26400	-1.610000000000000e+2	-2.020000000000000e+2	9.700000000000000e+1
26639	1.650000000000000e+2	1.300000000000000e+2	1.660000000000000e+2
26880	1.860000000000000e+2	1.880000000000000e+2	1.670000000000000e+2
27120	-2.400000000000000e+1	-9.700000000000000e+1	1.660000000000000e+2
27360	-7.100000000000000e+1	-6.000000000000000e+1	1.600000000000000e+2
27600	-7.000000000000000e+0	1.320000000000000e+2	1.470000000000000e+2
27840	3.000000000000000e+1	2.230000000000000e+2	1.770000000000000e+2
28080	2.600000000000000e+1	4.400000000000000e+1	1.880000000000000e+2
28320	-8.500000000000000e+1	-2.420000000000000e+2	1.400000000000000e+2
28560	-9.600000000000000e+1	-9.900000000000000e+1	1.310000000000000e+2
28800	4.100000000000000e+1	1.220000000000000e+2	1.140000000000000e+2
29040	5.500000000000000e+1	7.000000000000000e+1	9.100000000000000e+1
29280	-4.000000000000000e+1	-5.300000000000000e+1	8.200000000000000e+1
29520	-5.800000000000000e+1	-3.200000000000000e+1	4.900000000000000e+1
29760	5.000000000000000e+0	4.000000000000000e+1	5.100000000000000e+1
30000	4.300000000000000e+1	5.300000000000000e+1	7.100000000000000e+1
30239	1.800000000000000e+1	-9.100000000000000e+1	8.300000000000000e+1
30480	-5.900000000000000e+1	-7.800000000000000e+1	7.500000000000000e+1
30720	-5.800000000000000e+1	3.600000000000000e+1	5.100000000000000e+1
30960	4.100000000000000e+1	7.300000000000000e+1	3.400000000000000e+1
31200	9.300000000000000e+1	1.200000000000000e+1	5.400000000000000e+1
31439	-1.000000000000000e+0	-1.000000000000000e+2	5.200000000000000e+1
31679	-9.400000000000000e+1	-3.300000000000000e+1	6.900000000000000e+1
31920	-1.300000000000000e+1	1.000000000000000e+2	1.010000000000000e+2
32160	5.800000000000000e+1	2.520000000000000e+2	1.300000000000000e+2
32400	3.200000000000000e+1	1.450000000000000e+2	2.600000000000000e+2
32640	4.600000000000000e+1	2.420000000000000e+2	3.500000000000000e+2
32880	2.000000000000000e+1	4.290000000000000e+2	3.850000000000000e+2
33120	2.800000000000000e+1	2.720000000000000e+2	3.150000000000000e+2
33360	7.300000000000000e+1	3.190000000000000e+2	2.500000000000000e+2
33600	-5.700000000000000e+1	4.640000000000000e+2	1.430000000000000e+2
33840	5.100000000000000e+1	6.040000000000000e+2	7.900000000000000e+1
34080	2.620000000000000e+2	4.620000000000000e+2	-1.900000000000000e+1
34320	7.000000000000000e+0	3.810000000000000e+2	-3.400000000000000e+1
34560	-3.800000000000000e+1	2.570000000000000e+2	-1.130000000000000e+2
34800	6.000000000000000e+1	4.800000000000000e+1	-2.890000000000000e+2
35040	-7.600000000000000e+1	1.500000000000000e+1	-2.100000000000000e+2
35280	-1.920000000000000e+2	-2.190000000000000e+2	-1.440000000000000e+2
35520	-1.380000000000000e+2	-6.690000000000000e+2	-2.180000000000000e+2
35760	-2.070000000000000e+2	-1.031000000000000e+3	1.760000000000000e+2
36000	-2.780000000000000e+2	-2.390000000000000e+2	3.710000000000000e+2
36240	1.000000000000000e+0	8.090000000000000e+2	2.100000000000000e+2
36480	-4.600000000000000e+1	9.320000000000000e+2	3.810000000000000e+2
36720	-4.600000000000000e+1	4.650000000000000e+2	3.640000000000000e+2
36960	-6.600000000000000e+1	-9.200000000000000e+1	3.180000000000000e+2
37200	-6.200000000000000e+1	-4.870000000000000e+2	2.880000000000000e+2
37440	-1.340000000000000e+2	-5.260000000000000e+2	2.060000000000000e+2
37680	-1.200000000000000e+2	-3.290000000000000e+2	-1.400000000000000e+2
37920	1.200000000000000e+1	-1.850000000000000e+2	-3.630000000000000e+2
38161	1.000000000000000e+0	-3.920000000000000e+2	-8.690000000000000e+2
38400	-1.300000000000000e+1	-8.370000000000000e+2	-3.870000000000000e+2
38640	-1.160000000000000e+2	-6.950000000000000e+2	-1.000000000000000e+0
38880	-1.450000000000000e+2	7.150000000000000e+2	-2.100000000000000e+1
39121	-6.000000000000000e+1	1.528000000000000e+3	1.700000000000000e+1
39360	-2.100000000000000e+1	1.725000000000000e+3	1.930000000000000e+2
39601	5.200000000000000e+1	1.015000000000000e+3	3.040000000000000e+2
39840	-1.210000000000000e+2	1.390000000000000e+2	3.160000000000000e+2
40080	-1.080000000000000e+2	-3.810000000000000e+2	3.340000000000000e+2
40320	-1.110000000000000e+2	-4.960000000000000e+2	3.200000000000000e+2
40560	-1.600000000000000e+2	-5.110000000000000e+2	1.840000000000000e+2
40800	-2.510000000000000e+2	-7.530000000000000e+2	1.080000000000000e+2
41040	-2.550000000000000e+2	-8.830000000000000e+2	-3.500000000000000e+1
41280	-1.500000000000000e+2	-8.470000000000000e+2	-3.630000000000000e+2
41520	-3.700000000000000e+1	-8.130000000000000e+2	-3.570000000000000e+2
41760	9.000000000000000e+0	-5.880000000000000e+2	-2.590000000000000e+2
42000	5.100000000000000e+1	-4.060000000000000e+2	-1.730000000000000e+2
42240	5.300000000000000e+1	-3.030000000000000e+2	-1.090000000000000e+2
42480	7.300000000000000e+1	-1.410000000000000e+2	-5.500000000000000e+1
42720	8.200000000000000e+1	-5.000000000000000e+1	-2.300000000000000e+1
42960	6.900000000000000e+1	1.600000000000000e+1	4.000000000000000e+0
43200	1.300000000000000e+1	1.060000000000000e+2	-3.800000000000000e+1
43440	-3.800000000000000e+1	2.100000000000000e+2	-3.800000000000000e+1
43680	-7.000000000000000e+1	3.090000000000000e+2	-3.100000000000000e+1
43920	-6.500000000000000e+1	3.420000000000000e+2	-2.100000000000000e+1
44160	-4.700000000000000e+1	3.620000000000000e+2	-1.100000000000000e+1
44400	0.000000000000000e+0	2.990000000000000e+2	7.000000000000000e+0
44640	9.000000000000000e+0	1.690000000000000e+2	-3.000000000000000e+0
44881	4.500000000000000e+1	4.100000000000000e+1	-1.100000000000000e+1
45120	6.000000000000000e+1	-1.800000000000000e+1	2.000000000000000e+1
45361	2.600000000000000e+1	-2.500000000000000e+1	1.500000000000000e+1
45600	-1.700000000000000e+1	-2.100000000000000e+1	-2.300000000000000e+1
45840	-3.400000000000000e+1	-3.800000000000000e+1	8.000000000000000e+0
46080	-4.400000000000000e+1	-8.600000000000000e+1	-3.400000000000000e+1
46320	-5.000000000000000e+1	-2.140000000000000e+2	2.600000000000000e+1
46560	-5.100000000000000e+1	-2.870000000000000e+2	-1.100000000000000e+1
46800	-6.000000000000000e+1	-1.990000000000000e+2	-2.300000000000000e+1
47040	-2.500000000000000e+1	-8.800000000000000e+1	-3.000000000000000e+0
47280	3.000000000000000e+0	1.800000000000000e+1	-6.000000000000000e+0
47520	2.100000000000000e+1	1.110000000000000e+2	-1.100000000000000e+1
47760	5.200000000000000e+1	1.530000000000000e+2	2.700000000000000e+1
48000	3.200000000000000e+1	1.560000000000000e+2	1.000000000000000e+0
48240	2.800000000000000e+1	1.560000000000000e+2	9.000000000000000e+0
48480	4.000000000000000e+0	5.100000000000000e+1	-1.520000000000000e+2
48720	-4.900000000000000e+1	-2.800000000000000e+2	-1.340000000000000e+2
48960	-1.970000000000000e+2	-2.550000000000000e+2	-4.700000000000000e+1
49201	-1.960000000000000e+2	-1.300000000000000e+1	2.900000000000000e+1
49441	-1.590000000000000e+2	2.830000000000000e+2	6.700000000000000e+1
49681	3.700000000000000e+1	5.030000000000000e+2	2.400000000000000e+1
49921	1.360000000000000e+2	6.690000000000000e+2	3.600000000000000e+1
50161	1.560000000000000e+2	6.060000000000000e+2	6.900000000000000e+1
50401	9.500000000000000e+1	4.270000000000000e+2	5.800000000000000e+1
50641	1.210000000000000e+2	1.980000000000000e+2	7.200000000000000e+1
50881	7.400000000000000e+1	-5.200000000000000e+1	7.000000000000000e+1
51121	2.900000000000000e+1	-2.500000000000000e+2	4.200000000000000e+1
51361	-5.500000000000000e+1	-3.930000000000000e+2	-6.400000000000000e+1
51601	-6.200000000000000e+1	-4.700000000000000e+2	-4.000000000000000e+0
51841	-7.200000000000000e+1	-5.070000000000000e+2	4.000000000000000e+0
52081	-7.300000000000000e+1	-5.560000000000000e+2	-9.000000000000000e+0
52321	-1.540000000000000e+2	-4.710000000000000e+2	-2.000000000000000e+1
52561	-1.890000000000000e+2	-5.000000000000000e+1	-2.100000000000000e+1
52801	-1.260000000000000e+2	4.720000000000000e+2	2.300000000000000e+1
53041	-9.000000000000000e+0	6.900000000000000e+2	1.410000000000000e+2
53281	-1.100000000000000e+1	3.340000000000000e+2	1.140000000000000e+2
53521	8.700000000000000e+1	-6.000000000000000e+1	2.200000000000000e+1
53761	1.250000000000000e+2	-1.500000000000000e+2	-3.200000000000000e+1
54001	1.440000000000000e+2	-7.400000000000000e+1	7.000000000000000e+0
54241	1.260000000000000e+2	0.000000000000000e+0	3.300000000000000e+1
54480	3.500000000000000e+1	-1.510000000000000e+2	-1.490000000000000e+2
54721	3.000000000000000e+1	-1.180000000000000e+2	-2.700000000000000e+1
54961	-1.030000000000000e+2	-6.000000000000000e+0	2.800000000000000e+1
55201	-1.230000000000000e+2	2.900000000000000e+1	3.700000000000000e+1
55441	-4.600000000000000e+1	2.910000000000000e+2	5.800000000000000e+1
55681	-9.000000000000000e+1	2.340000000000000e+2	5.000000000000000e+0
55921	-1.610000000000000e+2	1.150000000000000e+2	-1.100000000000000e+1
56161	4.000000000000000e+0	1.740000000000000e+2	-1.500000000000000e+1
56401	7.500000000000000e+1	2.400000000000000e+2	2.700000000000000e+1
56641	1.220000000000000e+2	1.340000000000000e+2	8.100000000000000e+1
56881	5.400000000000000e+1	-6.200000000000000e+1	1.080000000000000e+2
57121	2.500000000000000e+1	-2.820000000000000e+2	1.150000000000000e+2
57361	8.000000000000000e+0	-4.220000000000000e+2	-4.900000000000000e+1
57601	2.100000000000000e+1	-4.510000000000000e+2	1.100000000000000e+1
57841	3.000000000000000e+1	-3.120000000000000e+2	-3.400000000000000e+1
58081	1.700000000000000e+1	-1.410000000000000e+2	3.400000000000000e+1
58321	4.200000000000000e+1	4.100000000000000e+1	4.300000000000000e+1
58561	4.700000000000000e+1	1.940000000000000e+2	5.000000000000000e+0
58801	4.800000000000000e+1	2.720000000000000e+2	6.000000000000000e+0
59041	2.500000000000000e+1	2.720000000000000e+2	-2.000000000000000e+0
59281	3.300000000000000e+1	2.730000000000000e+2	2.300000000000000e+1
59521	1.200000000000000e+1	2.690000000000000e+2	1.000000000000000e+0
59761	3.700000000000000e+1	1.860000000000000e+2	-6.000000000000000e+0
60001	2.500000000000000e+1	4.900000000000000e+1	5.000000000000000e+0
60241	7.000000000000000e+0	-1.300000000000000e+2	1.400000000000000e+1
60481	1.000000000000000e+0	-2.570000000000000e+2	-2.400000000000000e+1
60721	-9.000000000000000e+0	-3.200000000000000e+2	4.000000000000000e+0
60961	-7.000000000000000e+0	-3.710000000000000e+2	8.000000000000000e+0
61201	1.600000000000000e+1	-3.850000000000000e+2	-2.300000000000000e+1
61441	1.200000000000000e+1	-2.920000000000000e+2	-1.000000000000000e+0
61681	1.600000000000000e+1	-1.150000000000000e+2	2.200000000000000e+1
61921	-1.100000000000000e+1	7.500000000000000e+1	2.100000000000000e+1
62161	-1.600000000000000e+1	2.130000000000000e+2	2.300000000000000e+1
62401	-1.500000000000000e+1	3.120000000000000e+2	0.000000000000000e+0
62641	-4.100000000000000e+1	3.440000000000000e+2	-2.300000000000000e+1
62881	-1.400000000000000e+1	8.500000000000000e+1	-1.510000000000000e+2
63121	2.200000000000000e+1	4.800000000000000e+1	-6.100000000000000e+1
63361	1.700000000000000e+1	4.000000000000000e+1	-3.700000000000000e+1
63601	-6.800000000000000e+1	-1.310000000000000e+2	2.600000000000000e+1
63841	-9.900000000000000e+1	-1.020000000000000e+2	-1.500000000000000e+1
64081	-1.950000000000000e+2	-1.590000000000000e+2	-1.100000000000000e+1
64321	-2.450000000000000e+2	-2.290000000000000e+2	1.000000000000000e+0
64561	-2.190000000000000e+2	-1.950000000000000e+2	-1.800000000000000e+1
64801	-1.440000000000000e+2	-1.290000000000000e+2	1.900000000000000e+1
65041	8.000000000000000e+1	8.500000000000000e+1	3.100000000000000e+1
65281	1.880000000000000e+2	2.440000000000000e+2	1.520000000000000e+2
65521	2.220000000000000e+2	3.340000000000000e+2	5.200000000000000e+1
65761	3.800000000000000e+2	3.390000000000000e+2	3.200000000000000e+1
66001	8.500000000000000e+1	2.520000000000000e+2	4.900000000000000e+1
66241	-1.500000000000000e+1	1.160000000000000e+2	-3.080000000000000e+2
66481	-4.300000000000000e+1	-7.500000000000000e+1	-2.960000000000000e+2
66721	-3.300000000000000e+1	-1.950000000000000e+2	-3.210000000000000e+2
66961	1.500000000000000e+1	-2.420000000000000e+2	-3.300000000000000e+2
67201	4.100000000000000e+1	-2.140000000000000e+2	-3.460000000000000e+2
67441	1.900000000000000e+1	-1.540000000000000e+2	-4.030000000000000e+2
